Age,BirthDate,Price,Type,FirstName,LastName,NameShort,"Scorito GC","Scorito Climb","Scorito Time trial","Scorito Sprint","Scorito Punch","Scorito Hill","Scorito Cobbles",Team,"PCS One day races","PCS GC","PCS Time trial","PCS Sprint","PCS Climber","ITT Top 20","ITT Top 5","Race Top 20","Race Top 5"
37,1983-06-30T00:00:00,500000,Support,Marcus,Burghardt,"M. Burghardt",0,0,0,0,0,0,1,"BORA - hansgrohe",1608,717,180,1158,142,0,0,2,0
34,1986-10-10T00:00:00,500000,Climber,Pierre,Rolland,"P. Rolland",1,2,0,0,0,1,0,"B&B Hotels p/b KTM",476,3279,234,680,3351,0,0,5,2
32,1989-01-07T00:00:00,750000,Attacker,John,Degenkolb,"J. Degenkolb",0,0,0,1,0,1,4,"Lotto - Soudal",5706,1085,292,8522,361,1,0,11,3
31,1989-09-12T00:00:00,2500000,Climber,Rafal,Majka,"R. Majka",3,3,0,0,1,2,0,"UAE Team Emirates",1061,4325,855,212,5652,0,0,1,0
30,1990-10-16T00:00:00,5000000,Sprinter,Sam,Bennett,"S. Bennett",0,0,0,5,1,1,0,"Deceuninck - Quick-Step",2073,299,25,6312,304,0,0,10,10
32,1989-03-21T00:00:00,750000,Support,Tim,Declercq,"T. Declercq",0,0,0,0,0,0,2,"Deceuninck - Quick-Step",670,316,24,426,47,0,0,0,0
28,1992-10-25T00:00:00,1500000,Climber,Davide,Formolo,"D. Formolo",2,2,0,0,4,4,0,"UAE Team Emirates",926,1900,161,244,2397,0,0,7,0
28,1992-11-04T00:00:00,500000,Support,Carlos,Verona,"C. Verona",0,1,0,0,0,0,0,"Movistar Team",403,754,18,60,566,0,0,2,0
33,1987-08-14T00:00:00,500000,Support,Jacopo,Guarnieri,"J. Guarnieri",0,0,0,1,0,0,0,"Groupama - FDJ",695,319,1,1364,39,0,0,3,0
33,1987-10-01T00:00:00,750000,Climber,Wout,Poels,"W. Poels",2,3,2,0,3,2,0,"Bahrain Victorious",959,3703,873,524,3679,0,0,8,2
31,1990-01-26T00:00:00,4000000,Sprinter,Peter,Sagan,"P. Sagan",0,0,1,4,4,4,5,"BORA - hansgrohe",9095,1576,1281,14048,3466,0,0,13,9
30,1991-04-10T00:00:00,1000000,Attacker,Yves,Lampaert,"Y. Lampaert",0,0,3,1,0,1,4,"Deceuninck - Quick-Step",2490,942,1587,1940,201,2,1,7,2
